Pre0-Post1	Name	Broketrodes	Hello	TOVA	Vigilance	Saliency	Goodbye
1	1001	C1, C32, D1, D3, D32		B26, B27, B28, C8		A5, B26, B27, C8, C30, D25	
1	1002	C1, D1, D3, D32					
1	1003	B11, C18, C1		B10, B25, B26, B32, C8, C9, D12	B2, D13	D7, D13	D7, D13
1	1015	B29, C14, D1, D16	B7, B8, B29, C14, D1, D16	B29, C14, D1, D16	A26, A27, A28, A29, A30, B5, B6, B7, B8, B9, B10, B11, B12, B29, C14, D1, D16, D30	B12, B29, C14, D1, D16	B12, B29, C14, D1, D16, D30
1	1017	C1, C3, C18, D1, D16, D32, B29	B29, C1, C3, C18, D1, D16, D32	B29, C1, C3, C18, D1, D16, D22, D32	B29, C1, C3, C18, D1, D16, D32	B26, B27, B29, C1, C3, C18, D1, D16, D32	C1, C3, C18, D1, D4, D16, D22, D32
1	1019	C14, D1, D16, B29	A4, A13, A24, A25, C8, C9, C10, C15, C16, C17	B6, B7, B8, B9, B10, B11, B12, C8, C9, C10, C15, C16, C17	A13, A14	B22, C8, C10, C15, C16, C17, D5, D6	C16, C17
1	1023	A4, A12, C1, C3, C32, D1, D3	A4, A12, C1, C3, C32, D1, D3	A4, A12, C1, C3, C32, D1, D3, D22	A4, A12, C1, C3, C32, D1, D3, D22	A4, A12, C1, C3, C32, D1, D3, D22	A4, A12, C1, C3, C32, D1, D3, D22
1	1025	C32, D1, B11		A5, A17, A18	A5, A17, A18	A5, A17, A18	A5, A17, A18
1	1027	A28, B11, C18, C1					
1	1029	D1, D3, C29, B26	A5, A16, A17, A18, B2, B26, C29, D1, D3	B26, C6, C7, C29, D1, D3	B29, C29, C30, D1, D3	B26, C6, C7, C29, C30, D1, D3	B26, C29, D1, D3
1	1033		C1, C3, C5, C6, C7, D27	B25, B26, C1, C3, D27	C1, C3, D27	C1, C3, D27	C1, C3, D27
1	1034	B1, C11, D30, D31, D32	A4, B10, C1, C2, D1, D2, D12, D13, D14, D15, D16, D17, D18, D19	A1, A2, A3, A4, B10, C1, C2, D1, D2, D12, D13, D14, D15, D16, D18	A1, A2, A3, A4, B10, C1, C2, D1, D2, D12, D13, D14, D15, D16, D18	A1, A2, A3, A4, B10, C1, C2, D1, D2, D12, D13, D14, D15, D16, D18	
1	1035	C32, D3, B2, B11		C4, C5, C6, C7, C8, C9, C10, C30, C31	A25		
1	1036	C1, D3, B3, B11, B27					
1	1041	B3, B11, B25, B26, B27, D1, D3, D9, D32		C16			
1	1042	A26, B3, B11, B27, C14, D1, D16	A26, B3, B11, B27, C14, D1, D16	A26, B3, B11, B27, C6, C7, C14, C31, D1, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D16	A26, B3, B11, B27, C14, D1, D16	A26, B3, B7, B11, B15, B27, C8, C9, C10, C14, C15, C29, D1, D8, D16, D23	A26, B3, B11, B27, C14, D1, D16
1	1045	A26, B26	A26, B8, B26, C14, D23	A26, B26, B27, B28, C8, C16, C30, C31, D23	A26, A27, A28, B7, B8, D23, D30	A8, A26, B26, B27, D23	A8, B9, B21, C16, D23, D30
1	1048	B3, B11, B17, B27, C1, C30, C24, D3	C1	C8, C9, C17, C18, C28, C29		B10	B10
1	1052		A1, A4, A5, A12, B3, B11, B27, C9, C10, D1, D2, D3, D8, D11, D20	A1, A4, A12, A14, A15, B22, B23, B24, B25, B26, B30, C8, C9, C10, C30, D1, D32	A26, A27, B2, C5, C14, D1, D6, D7, D32	C29, C30, C31, D9, D10, D11, D12, D22, D23, D24	
1	1053	A6, A27, A28, B1, B3, C6, C14, C16, D1, D13, B32	A13, B26	A5, A13, A16, A17, A18, B26	A1, B26	A1, B26, C9	
1	1055	A5, A27, A28, B3, B11, B27, C14, C16	A9, A10, A11, A12, A13, A14, A15, B8, B9, C8	A9, A10, A11, A12, A13, A14, A15, A16, A22, A23, A24, A25, A26, B25, B26, C6, C7, C8, C9, C10, C15, D4, D5, D6, D7, D8, D9, D10, D11, D22, D24		A9, A10, A11, A12, A13, A14, A15, A16, A22, A23, A24, A25, A26, B8, B9, C6, C7, C8, C9, C10, C15, C29, C30, C31, D6, D7, D8, D9, D10, D23	A9, A10, A11, A12, A13, A14, A15, A16, A22, A23, A24, A25, A26, B6, B7, B8, B9, B10, D30, D31, D32
1	1056	D1, D3, D32	B5, D1, D3, D32	B5, B14, B25, B26, D1, D3, D21, D26, D27, D32	C30, C31, C32, D1, D3, D6, D7, D32	D1, D3, D6, D7, D30, D32	D1, D3, D32
